# CVN-73 geometry register — deck coverage bands and surveyed extents.
# deck,<deck_code>,<lo_frame>,<hi_frame>   space,<compartment_no>,<fwd_frame>,<aft_frame>
# ILLUSTRATIVE: extents follow the generated register; the bands trim the plates at bow and stern.
deck,flight,0,273
deck,gallery,4,262
deck,o2,6,262
deck,o1,8,262
deck,Main,10,265
deck,2nd,10,262
deck,3rd,12,258
deck,4th,12,256
deck,1stplat,16,252
deck,2ndplat,22,248
deck,hold,30,250
deck,db,34,236
space,04-20-1-Q,20,100
space,04-24-2-Q,24,104
space,04-44-0-Q,44,94
space,04-90-1-Q,90,104
space,04-100-1-Q,100,103
space,04-104-2-Q,104,107
space,04-132-2-Q,132,208
space,04-140-1-Q,140,154
space,04-150-2-Q,150,164
space,04-150-4-Q,150,226
space,04-168-0-Q,168,214
space,04-190-1-Q,190,204
space,04-208-2-Q,208,211
space,04-214-0-Q,214,240
space,04-226-4-Q,226,229
space,04-240-2-Q,240,244
space,04-246-0-Q,246,265
space,04-246-1-Q,246,254
space,03-10-1-Q,10,18
space,03-12-2-Q,12,20
space,03-20-1-Q,20,34
space,03-22-2-Q,22,36
space,03-36-0-T,36,44
space,03-61-1-Q,61,64
space,03-61-2-Q,61,69
space,03-72-2-Q,72,80
space,03-73-1-Q,73,79
space,03-84-2-Q,84,92
space,03-85-1-Q,85,91
space,03-96-1-Q,96,98
space,03-97-2-Q,97,102
space,03-98-1-Q,98,102
space,03-102-2-Q,102,106
space,03-112-0-C,112,128
space,03-118-2-Q,118,132
space,03-128-0-C,128,140
space,03-136-4-Q,136,150
space,03-140-0-C,140,148
space,03-148-0-C,148,156
space,03-150-1-L,150,158
space,03-156-0-T,156,168
space,03-158-2-L,158,166
space,03-166-1-L,166,174
space,03-168-3-Q,168,174
space,03-174-2-L,174,182
space,03-176-4-Q,176,184
space,03-182-1-L,182,190
space,03-184-3-Q,184,190
space,03-190-2-L,190,198
space,03-196-4-L,196,206
space,03-198-1-L,198,206
space,03-206-0-T,206,216
space,03-206-2-L,206,214
space,03-214-1-L,214,222
space,03-222-1-Q,222,228
space,03-226-2-Q,226,232
space,03-232-1-Q,232,238
space,03-236-2-Q,236,242
space,03-244-0-Q,244,250
space,03-250-1-Q,250,258
space,03-250-2-Q,250,258
space,02-8-0-Q,8,36
space,02-36-0-Q,36,42
space,02-40-1-Q,40,46
space,02-40-2-Q,40,46
space,02-56-2-A,56,61
space,02-57-1-A,57,59
space,02-60-0-C,60,70
space,02-72-0-C,72,82
space,02-73-1-A,73,79
space,02-73-2-A,73,77
space,02-86-1-Q,86,94
space,02-88-1-A,88,94
space,02-88-2-A,88,94
space,02-96-3-Q,96,102
space,02-104-1-A,104,108
space,02-104-4-Q,104,110
space,02-105-2-A,105,107
space,02-120-3-Q,120,126
space,02-121-1-A,121,126
space,02-121-2-A,121,127
space,02-128-4-Q,128,134
space,02-136-1-Q,136,144
space,02-136-2-A,136,139
space,02-137-1-A,137,140
space,02-144-3-Q,144,150
space,02-146-2-Q,146,154
space,02-152-4-Q,152,158
space,02-153-1-A,153,155
space,02-153-2-A,153,157
space,02-168-3-Q,168,174
space,02-169-1-A,169,172
space,02-169-2-A,169,174
space,02-176-4-Q,176,182
space,02-184-1-A,184,188
space,02-184-2-A,184,192
space,02-186-1-Q,186,194
space,02-192-3-Q,192,198
space,02-200-4-Q,200,206
space,02-201-1-A,201,205
space,02-201-2-A,201,204
space,02-216-1-A,216,219
space,02-216-2-A,216,224
space,02-216-3-Q,216,222
space,02-224-4-Q,224,230
space,02-240-1-J,240,244
space,02-240-2-J,240,244
space,02-250-0-T,250,258
space,01-16-0-L,16,28
space,01-30-1-L,30,38
space,01-30-2-L,30,38
space,01-60-3-A,60,68
space,01-60-4-A,60,63
space,01-64-1-Q,64,76
space,01-80-1-Q,80,92
space,01-80-3-A,80,86
space,01-80-4-A,80,84
space,01-96-1-Q,96,108
space,01-100-4-A,100,104
space,01-101-3-A,101,103
space,01-112-1-Q,112,124
space,01-121-3-A,121,129
space,01-121-4-A,121,129
space,01-128-2-Q,128,140
space,01-140-1-Q,140,146
space,01-140-2-Q,140,146
space,01-140-3-A,140,144
space,01-141-4-A,141,149
space,01-144-2-Q,144,156
space,01-160-2-Q,160,172
space,01-160-3-A,160,165
space,01-161-4-A,161,164
space,01-176-1-Q,176,188
space,01-180-4-A,180,188
space,01-181-3-A,181,183
space,01-192-2-Q,192,204
space,01-201-3-A,201,205
space,01-201-4-A,201,207
space,01-208-1-Q,208,220
space,01-220-3-A,220,228
space,01-220-4-A,220,223
space,01-236-0-T,236,244
space,01-248-1-Q,248,256
space,01-248-2-Q,248,256
space,1-12-0-A,12,24
space,1-28-0-T,28,42
space,1-60-0-Q,60,120
space,1-65-1-Q,65,70
space,1-65-2-Q,65,67
space,1-70-1-C,70,74
space,1-81-1-Q,81,87
space,1-81-2-Q,81,85
space,1-86-1-T,86,100
space,1-96-1-Q,96,99
space,1-96-2-Q,96,99
space,1-112-2-Q,112,115
space,1-113-1-Q,113,118
space,1-118-0-Q,118,120
space,1-120-0-Q,120,180
space,1-128-2-Q,128,131
space,1-129-1-Q,129,134
space,1-130-1-C,130,134
space,1-136-0-Q,136,144
space,1-136-1-C,136,142
space,1-136-1-T,136,150
space,1-144-1-Q,144,148
space,1-144-2-Q,144,148
space,1-146-2-T,146,160
space,1-160-0-Q,160,168
space,1-160-1-Q,160,166
space,1-160-2-Q,160,163
space,1-177-1-Q,177,181
space,1-177-2-Q,177,182
space,1-178-0-Q,178,180
space,1-180-0-Q,180,232
space,1-186-1-T,186,200
space,1-190-1-C,190,194
space,1-193-1-Q,193,198
